a	b
A5YKK6	F7VJQ1
A5YKK6	O00220
A5YKK6	O00425
A5YKK6	O00602
A5YKK6	O14641
A5YKK6	O14715
A5YKK6	O15078
A5YKK6	O15178
A5YKK6	O15389
A5YKK6	O60613
A5YKK6	O60716
A5YKK6	O75592
A5YKK6	O95183
A5YKK6	O95714
A5YKK6	O95816
A5YKK6	P00533
A5YKK6	P01106
A5YKK6	P02751
A5YKK6	P02751-6
A5YKK6	P04198
A5YKK6	P04629
A5YKK6	P05556-2
A5YKK6	P05556-5
A5YKK6	P07437
A5YKK6	P08047-2
A5YKK6	P08571
A5YKK6	P08648
A5YKK6	P0C2W1
A5YKK6	P10070
A5YKK6	P10071
A5YKK6	P11021
A5YKK6	P14316
A5YKK6	P14543
A5YKK6	P14598
A5YKK6	P14867
A5YKK6	P16104
A5YKK6	P16581
A5YKK6	P17542
A5YKK6	P17987
A5YKK6	P18206
A5YKK6	P19784
A5YKK6	P20591
A5YKK6	P20648
A5YKK6	P21860
A5YKK6	P23258
A5YKK6	P23769
A5YKK6	P23771-2
A5YKK6	P27824
A5YKK6	P29322
A5YKK6	P30530
A5YKK6	P35228
A5YKK6	P35712
A5YKK6	P35916
A5YKK6	P38398
A5YKK6	P41279
A5YKK6	P48643
A5YKK6	P49368
A5YKK6	P49459
A5YKK6	P49736
A5YKK6	P50991
A5YKK6	P51116
A5YKK6	P55316
A5YKK6	P56704
A5YKK6	P56705
A5YKK6	P60709
A5YKK6	P63167
A5YKK6	P68371
A5YKK6	P78371
A5YKK6	Q00839-2
A5YKK6	Q04206-2
A5YKK6	Q07864
A5YKK6	Q08AG7
A5YKK6	Q13114
A5YKK6	Q13233
A5YKK6	Q13501-2
A5YKK6	Q13619-2
A5YKK6	Q13620-3
A5YKK6	Q14164
A5YKK6	Q14764
A5YKK6	Q15077
A5YKK6	Q15628
A5YKK6	Q15843
A5YKK6	Q2M1P5
A5YKK6	Q4G0J3
A5YKK6	Q53ET0
A5YKK6	Q5VU43-13
A5YKK6	Q6P2Q9
A5YKK6	Q6P582
A5YKK6	Q6Y7W6
A5YKK6	Q6ZRV2
A5YKK6	Q86VP6
A5YKK6	Q8IWT3
A5YKK6	Q8IXZ2
A5YKK6	Q8N2A8
A5YKK6	Q8NCJ5
A5YKK6	Q8NCL4
A5YKK6	Q8NFZ5
A5YKK6	Q8NHV4-3
A5YKK6	Q8TB96
A5YKK6	Q93034
A5YKK6	Q93100-3
A5YKK6	Q96CS3
A5YKK6	Q96DA6
A5YKK6	Q96JH7
A5YKK6	Q96JN8
A5YKK6	Q96KC8
A5YKK6	Q96L12
A5YKK6	Q96RT7
A5YKK6	Q99590
A5YKK6	Q99623
A5YKK6	Q99832-3
A5YKK6	Q9BQE3
A5YKK6	Q9BSJ2
A5YKK6	Q9BYK8
A5YKK6	Q9H0W5
A5YKK6	Q9H1U9
A5YKK6	Q9H1X3
A5YKK6	Q9H3Z4
A5YKK6	Q9HCU0
A5YKK6	Q9NRD1
A5YKK6	Q9NXC5
A5YKK6	Q9NYJ8
A5YKK6	Q9NYU2
A5YKK6	Q9UHD2
A5YKK6	Q9Y223
A5YKK6	Q9Y3Z3
A5YKK6	Q9Y3Z3-4
A5YKK6	Q9Y4K0
A5YKK6	Q9Y520-4
A5YKK6	Q9Y5T4
A5YKK6	O00206-2
A5YKK6	O00567
A5YKK6	O14498
A5YKK6	O14548
A5YKK6	O14949
A5YKK6	O15055
A5YKK6	O15258
A5YKK6	O43396
A5YKK6	O43852-15
A5YKK6	O43920
A5YKK6	O60477
A5YKK6	O60885
A5YKK6	O75290
A5YKK6	O94874
A5YKK6	O94992
A5YKK6	P04275
A5YKK6	P04626-3
A5YKK6	P04843
A5YKK6	P08758
A5YKK6	P10909
A5YKK6	P13928-3
A5YKK6	P14625
A5YKK6	P18850
A5YKK6	P23378
A5YKK6	P25786
A5YKK6	P51451
A5YKK6	P54252
A5YKK6	P56192
A5YKK6	P57078-2
A5YKK6	Q01518-2
A5YKK6	Q13200
A5YKK6	Q15058
A5YKK6	Q15293
A5YKK6	Q16849
A5YKK6	Q3KP44
A5YKK6	Q5T2S8
A5YKK6	Q5VYS4-2
A5YKK6	Q6P1J9
A5YKK6	Q6P2D8
A5YKK6	Q6PCD5
A5YKK6	Q709C8
A5YKK6	Q7L3B6
A5YKK6	Q8IXB1
A5YKK6	Q8N5C6
A5YKK6	Q8N5C6-2
A5YKK6	Q8TD08
A5YKK6	Q969H0
A5YKK6	Q96Q15
A5YKK6	Q99442
A5YKK6	Q99933
A5YKK6	Q9BT09
A5YKK6	Q9BUR5
A5YKK6	Q9BXJ2
A5YKK6	Q9H4L4
A5YKK6	Q9H8V3-3
A5YKK6	Q9NS87
A5YKK6	Q9NZH0
A5YKK6	Q9NZJ5
A5YKK6	Q9P0P0
A5YKK6	Q9UQE7
A5YKK6	Q9Y2B0
A5YKK6	Q9Y312
A5YKK6	Q9Y3P9
A5YKK6	Q9Y4D1
A5YKK6	O15230
A5YKK6	O75051
A5YKK6	P25391
A5YKK6	P39060
A5YKK6	P41180
A5YKK6	P52815
A5YKK6	P58417
A5YKK6	Q02083
A5YKK6	Q5NDL2
A5YKK6	Q6PL45-2
A5YKK6	Q7Z5L7
A5YKK6	Q8TEM1
A5YKK6	Q92545
A5YKK6	Q969Y0
A5YKK6	Q96GR4
A5YKK6	Q9H4A9
A5YKK6	Q9HAW8
A5YKK6	Q9NZR2
A5YKK6	Q9P2K2
A5YKK6	Q9UIW2
A5YKK6	Q13438
A5YKK6	O75460
A5YKK6	P36896
A5YKK6	P62877
A5YKK6	Q08050
A5YKK6	Q5T4D3-3
A5YKK6	Q86TM6
A5YKK6	Q8IWF2
A5YKK6	Q96DZ1
A5YKK6	Q96KM6
A5YKK6	Q9GZT9
A5YKK6	Q9H6Z9
A5YKK6	Q9UBV2
A5YKK6	Q13438-2
A5YKK6	Q13438-3
A5YKK6	Q15796-2
A5YKK6	Q16820
A5YKK6	Q13438-5
A5YKK6	P35613
A5YKK6	Q8WU17
A5YKK6	Q9BRK4
A5YKK6	Q8TCT9-5
A5YKK6	Q86T26
A5YKK6	Q9ULY5
F7VJQ1	O00220
F7VJQ1	O00425
F7VJQ1	O00602
F7VJQ1	O14641
F7VJQ1	O14715
F7VJQ1	O15078
F7VJQ1	O15178
F7VJQ1	O15389
F7VJQ1	O60613
F7VJQ1	O60716
F7VJQ1	O75592
F7VJQ1	O95183
F7VJQ1	O95714
F7VJQ1	O95816
F7VJQ1	P00533
F7VJQ1	P01106
F7VJQ1	P02751
F7VJQ1	P02751-6
F7VJQ1	P04198
F7VJQ1	P04629
F7VJQ1	P05556-2
F7VJQ1	P05556-5
F7VJQ1	P07437
F7VJQ1	P08047-2
F7VJQ1	P08571
F7VJQ1	P08648
F7VJQ1	P0C2W1
F7VJQ1	P10070
F7VJQ1	P10071
F7VJQ1	P11021
F7VJQ1	P14316
F7VJQ1	P14543
F7VJQ1	P14598
F7VJQ1	P14867
F7VJQ1	P16104
F7VJQ1	P16581
F7VJQ1	P17542
F7VJQ1	P17987
F7VJQ1	P18206
F7VJQ1	P19784
F7VJQ1	P20591
F7VJQ1	P20648
F7VJQ1	P21860
F7VJQ1	P23258
F7VJQ1	P23769
F7VJQ1	P23771-2
F7VJQ1	P27824
F7VJQ1	P29322
F7VJQ1	P30530
F7VJQ1	P35228
F7VJQ1	P35712
F7VJQ1	P35916
F7VJQ1	P38398
F7VJQ1	P41279
F7VJQ1	P48643
F7VJQ1	P49368
F7VJQ1	P49459
F7VJQ1	P49736
F7VJQ1	P50991
F7VJQ1	P51116
F7VJQ1	P55316
F7VJQ1	P56704
F7VJQ1	P56705
F7VJQ1	P60709
F7VJQ1	P63167
F7VJQ1	P68371
F7VJQ1	P78371
F7VJQ1	Q00839-2
F7VJQ1	Q04206-2
F7VJQ1	Q07864
F7VJQ1	Q08AG7
F7VJQ1	Q13114
F7VJQ1	Q13233
F7VJQ1	Q13501-2
F7VJQ1	Q13619-2
F7VJQ1	Q13620-3
F7VJQ1	Q14164
F7VJQ1	Q14764
F7VJQ1	Q15077
F7VJQ1	Q15628
F7VJQ1	Q15843
F7VJQ1	Q2M1P5
F7VJQ1	Q4G0J3
F7VJQ1	Q53ET0
F7VJQ1	Q5VU43-13
F7VJQ1	Q6P2Q9
F7VJQ1	Q6P582
F7VJQ1	Q6Y7W6
F7VJQ1	Q6ZRV2
F7VJQ1	Q86VP6
F7VJQ1	Q8IWT3
F7VJQ1	Q8IXZ2
F7VJQ1	Q8N2A8
F7VJQ1	Q8NCJ5
F7VJQ1	Q8NCL4
F7VJQ1	Q8NFZ5
F7VJQ1	Q8NHV4-3
F7VJQ1	Q8TB96
F7VJQ1	Q93034
F7VJQ1	Q93100-3
F7VJQ1	Q96CS3
F7VJQ1	Q96DA6
F7VJQ1	Q96JH7
F7VJQ1	Q96JN8
F7VJQ1	Q96KC8
F7VJQ1	Q96L12
F7VJQ1	Q96RT7
F7VJQ1	Q99590
F7VJQ1	Q99623
F7VJQ1	Q99832-3
